Date,MGRZ
"2000 JAN",27309
"2000 FEB",27362
"2000 MAR",27406
"2000 APR",27442
"2000 MAY",27468
"2000 JUN",27528
"2000 JUL",27565
"2000 AUG",27555
"2000 SEP",27528
"2000 OCT",27516
"2000 NOV",27549
"2000 DEC",27637
"2001 JAN",27618
"2001 FEB",27623
"2001 MAR",27663
"2001 APR",27699
"2001 MAY",27707
"2001 JUN",27699
"2001 JUL",27719
"2001 AUG",27715
"2001 SEP",27735
"2001 OCT",27787
"2001 NOV",27803
"2001 DEC",27769
"2002 JAN",27781
"2002 FEB",27797
"2002 MAR",27856
"2002 APR",27888
"2002 MAY",27933
"2002 JUN",27908
"2002 JUL",27949
"2002 AUG",27935
"2002 SEP",28023
"2002 OCT",28059
"2002 NOV",28110
"2002 DEC",28081
"2003 JAN",28058
"2003 FEB",28099
"2003 MAR",28142
"2003 APR",28199
"2003 MAY",28226
"2003 JUN",28236
"2003 JUL",28228
"2003 AUG",28256
"2003 SEP",28285
"2003 OCT",28295
"2003 NOV",28304
"2003 DEC",28399
"2004 JAN",28438
"2004 FEB",28459
"2004 MAR",28449
"2004 APR",28466
"2004 MAY",28470
"2004 JUN",28464
"2004 JUL",28480
"2004 AUG",28518
"2004 SEP",28544
"2004 OCT",28627
"2004 NOV",28673
"2004 DEC",28726
"2005 JAN",28794
"2005 FEB",28789
"2005 MAR",28759
"2005 APR",28780
"2005 MAY",28802
"2005 JUN",28855
"2005 JUL",28906
"2005 AUG",28928
"2005 SEP",28913
"2005 OCT",28880
"2005 NOV",28880
"2005 DEC",28934
"2006 JAN",28988
"2006 FEB",29048
"2006 MAR",29085
"2006 APR",29063
"2006 MAY",29106
"2006 JUN",29140
"2006 JUL",29224
"2006 AUG",29183
"2006 SEP",29189
"2006 OCT",29204
"2006 NOV",29214
"2006 DEC",29202
"2007 JAN",29175
"2007 FEB",29194
"2007 MAR",29232
"2007 APR",29314
"2007 MAY",29322
"2007 JUN",29352
"2007 JUL",29376
"2007 AUG",29420
"2007 SEP",29470
"2007 OCT",29527
"2007 NOV",29576
"2007 DEC",29614
"2008 JAN",29676
"2008 FEB",29684
"2008 MAR",29706
"2008 APR",29749
"2008 MAY",29722
"2008 JUN",29696
"2008 JUL",29612
"2008 AUG",29580
"2008 SEP",29535
"2008 OCT",29556
"2008 NOV",29528
"2008 DEC",29539
"2009 JAN",29429
"2009 FEB",29366
"2009 MAR",29272
"2009 APR",29155
"2009 MAY",29087
"2009 JUN",29018
"2009 JUL",29076
"2009 AUG",29069
"2009 SEP",29084
"2009 OCT",29092
"2009 NOV",29102
"2009 DEC",29057
"2010 JAN",29024
"2010 FEB",29013
"2010 MAR",29048
"2010 APR",29144
"2010 MAY",29192
"2010 JUN",29325
"2010 JUL",29339
"2010 AUG",29385
"2010 SEP",29308
"2010 OCT",29284
"2010 NOV",29324
"2010 DEC",29391
"2011 JAN",29442
"2011 FEB",29441
"2011 MAR",29436
"2011 APR",29466
"2011 MAY",29447
"2011 JUN",29345
"2011 JUL",29299
"2011 AUG",29277
"2011 SEP",29297
"2011 OCT",29324
"2011 NOV",29340
"2011 DEC",29351
"2012 JAN",29386
"2012 FEB",29460
"2012 MAR",29495
"2012 APR",29559
"2012 MAY",29663
"2012 JUN",29746
"2012 JUL",29780
"2012 AUG",29753
"2012 SEP",29740
"2012 OCT",29846
"2012 NOV",29910
"2012 DEC",29895
"2013 JAN",29827
"2013 FEB",29851
"2013 MAR",29889
"2013 APR",29856
"2013 MAY",29935
"2013 JUN",29999
"2013 JUL",30028
"2013 AUG",30098
"2013 SEP",30208
"2013 OCT",30288
"2013 NOV",30288
"2013 DEC",30322
"2014 JAN",30491
"2014 FEB",30534
"2014 MAR",30629
"2014 APR",30717
"2014 MAY",30680
"2014 JUN",30682
"2014 JUL",30763
"2014 AUG",30793
"2014 SEP",30796
"2014 OCT",30801
"2014 NOV",30896
"2014 DEC",30939
"2015 JAN",31049
"2015 FEB",31098
"2015 MAR",31053
"2015 APR",30982
"2015 MAY",31035
"2015 JUN",31095
"2015 JUL",31122
"2015 AUG",31211
"2015 SEP",31302
"2015 OCT",31389
